cell_name	gene_name	tissue_type	gene_id
Schwalie et al.Nature.G3	Socs3	Adipose tissue	ENSMUSG00000053113
Schwalie et al.Nature.P2	Gucy1b1	Adipose tissue	ENSMUSG00000028005
Schwalie et al.Nature.G1	Apod	Adipose tissue	ENSMUSG00000022548
Schwalie et al.Nature.P3	Ccdc152	Adipose tissue	ENSMUSG00000091119
Schwalie et al.Nature.P3	Vit	Adipose tissue	ENSMUSG00000024076
Schwalie et al.Nature.G1	Lims2	Adipose tissue	ENSMUSG00000024395
Schwalie et al.Nature.P3	Gpc3	Adipose tissue	ENSMUSG00000055653
Schwalie et al.Nature.G4	Tspo	Adipose tissue	ENSMUSG00000041736
Schwalie et al.Nature.P3	Fbxo11	Adipose tissue	ENSMUSG00000005371
Schwalie et al.Nature.P3	Svep1	Adipose tissue	ENSMUSG00000028369
Schwalie et al.Nature.P1	Efna5	Adipose tissue	ENSMUSG00000048915
Schwalie et al.Nature.P2	Bmper	Adipose tissue	ENSMUSG00000031963
Schwalie et al.Nature.G2	Pebp1	Adipose tissue	ENSMUSG00000032959
Schwalie et al.Nature.G2	Cdh11	Adipose tissue	ENSMUSG00000031673
Schwalie et al.Nature.G4	Phf11d	Adipose tissue	ENSMUSG00000068245
Schwalie et al.Nature.P3	Psmd2	Adipose tissue	ENSMUSG00000006998
Schwalie et al.Nature.P1	Rps11	Adipose tissue	ENSMUSG00000003429
Schwalie et al.Nature.P3	Itpr1	Adipose tissue	ENSMUSG00000030102
Schwalie et al.Nature.G2	Mmp19	Adipose tissue	ENSMUSG00000025355
Schwalie et al.Nature.P3	Gabra3	Adipose tissue	ENSMUSG00000031343
Schwalie et al.Nature.G3	Pcolce	Adipose tissue	ENSMUSG00000029718
Schwalie et al.Nature.G3	Slco2b1	Adipose tissue	ENSMUSG00000030737
Schwalie et al.Nature.G1	Ccn3	Adipose tissue	ENSMUSG00000037362
Schwalie et al.Nature.P2	Map4k4	Adipose tissue	ENSMUSG00000026074
Schwalie et al.Nature.G4	Plod2	Adipose tissue	ENSMUSG00000032374
Schwalie et al.Nature.G3	Cxcl16	Adipose tissue	ENSMUSG00000018920
Schwalie et al.Nature.G3	Gask1b	Adipose tissue	ENSMUSG00000027955
Schwalie et al.Nature.G1	Smpdl3a	Adipose tissue	ENSMUSG00000019872
Schwalie et al.Nature.G1	Rps27	Adipose tissue	ENSMUSG00000090733
Schwalie et al.Nature.P2	Fabp4	Adipose tissue	ENSMUSG00000062515
Schwalie et al.Nature.G1	Cpne8	Adipose tissue	ENSMUSG00000052560
